Date,Node ID,Time Stamp,Temperature (C),Relative Humidity % ,Load Cell,IR Spec,Full Spec,Battery Voltage,RSSI (Radio Strength)
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,,,,,,,,,
3/5/2018,100,16:9_3/5,22.406,31.07,-0.490865,6,24,4.2,-44
3/5/2018,100,16:11_3/5,22.37,31.664,-0.491952,31,197,3.8,-39
3/5/2018,100,16:12_3/5,22.466,32.026,-0.492016,33,202,3.8,-39
3/5/2018,100,16:13_3/5,22.472,32.649,-0.490578,31,195,3.8,-49
3/5/2018,100,16:14_3/5,22.495,32.607,-0.490568,31,195,3.8,-46
3/5/2018,100,16:16_3/5,22.6,33.053,-0.490693,31,196,3.8,-52
3/5/2018,100,16:17_3/5,22.583,32.757,-0.490593,30,191,3.8,-48
3/5/2018,100,16:18_3/5,22.238,32.778,-0.490687,31,192,3.8,-47
3/5/2018,100,16:19_3/5,22.38,34.3,-0.490448,31,193,3.8,-46
3/5/2018,100,16:20_3/5,22.333,33.715,-0.490605,30,192,3.8,-50
3/5/2018,100,16:21_3/5,22.412,34.222,-0.490424,30,192,3.8,-48
3/5/2018,100,16:22_3/5,22.581,35.391,-0.082115,32,181,3.8,-44
3/5/2018,100,16:23_3/5,22.856,34.364,-0.490836,32,198,3.8,-44
3/5/2018,100,16:24_3/5,22.731,34.888,-0.490581,31,192,3.8,-42
3/5/2018,100,16:25_3/5,22.796,35.955,-0.082136,18,91,3.8,-47
3/5/2018,100,16:27_3/5,22.963,34.998,-0.491925,30,193,3.8,-47
3/5/2018,100,16:28_3/5,22.99,35.138,-0.491794,29,189,3.8,-45
3/5/2018,100,16:29_3/5,22.922,35.203,-0.491888,29,189,3.8,-47
3/5/2018,100,16:30_3/5,23.007,35.111,-0.491847,30,191,3.8,-44
3/5/2018,100,16:31_3/5,23.139,35.358,-0.491852,30,191,3.8,-46
3/5/2018,100,16:32_3/5,23.09,35.22,-0.491919,30,191,3.8,-46
3/5/2018,100,16:33_3/5,23.136,35.241,-0.491908,30,190,3.8,-43
3/5/2018,100,16:34_3/5,23.214,35.451,-0.49199,30,191,3.8,-46
3/5/2018,100,16:35_3/5,23.122,35.739,-0.491859,29,189,3.8,-46
3/5/2018,100,16:36_3/5,23.052,35.249,-0.491879,29,189,3.8,-44
3/5/2018,100,16:38_3/5,22.856,34.709,-0.492027,29,188,3.8,-46
3/5/2018,100,16:39_3/5,22.939,35.567,-0.492411,29,187,3.8,-46
3/5/2018,100,16:40_3/5,23.124,36.056,-0.492435,30,194,3.8,-46
3/5/2018,100,16:41_3/5,22.903,35.242,-0.492912,31,195,3.8,-45
3/5/2018,100,16:42_3/5,23.641,36.729,-0.51954,33,198,3.8,-44
3/5/2018,100,16:43_3/5,23.155,34.48,-0.491705,28,182,3.8,-48
3/5/2018,100,16:44_3/5,22.96,35.271,-0.49155,27,179,3.8,-58
3/5/2018,100,16:45_3/5,23.021,35.865,-0.49143,27,178,3.8,-50
3/5/2018,100,16:46_3/5,23.208,35.757,-0.49145,28,180,3.8,-48
3/5/2018,100,16:47_3/5,23.406,35.414,-0.491575,28,183,3.8,-53
3/5/2018,100,16:49_3/5,23.54,35.07,-0.491599,28,182,3.8,-56
3/5/2018,100,16:50_3/5,23.434,34.55,-0.491593,28,181,3.8,-56
3/5/2018,100,16:51_3/5,23.121,35.503,-0.491472,28,181,3.8,-46
3/5/2018,100,16:52_3/5,23.136,35.272,-0.491414,28,181,3.8,-66
3/5/2018,100,16:53_3/5,23.35,35.156,-0.491547,29,183,3.8,-48
3/5/2018,100,16:54_3/5,23.587,35.308,-0.491714,4,21,3.8,-58
3/5/2018,100,16:55_3/5,23.518,35.083,-0.491614,4,21,3.8,-50
3/5/2018,100,16:56_3/5,23.523,34.589,-0.491741,4,21,3.8,-44
3/5/2018,100,16:57_3/5,23.478,34.891,-0.491701,4,20,3.8,-54
3/5/2018,100,16:58_3/5,23.565,33.972,-0.491957,4,20,3.8,-62
3/5/2018,100,17:0_3/5,23.555,35.006,-0.491662,4,21,3.8,-50
3/5/2018,100,17:1_3/5,23.598,34.841,-0.491907,4,20,3.8,-50
3/5/2018,100,17:2_3/5,23.395,34.555,-0.491873,4,20,3.8,-48
3/5/2018,100,17:3_3/5,23.495,35.108,-0.491672,4,20,3.8,-46
3/5/2018,100,17:4_3/5,23.439,34.752,-0.491922,4,21,3.8,-43
